index file_name is_good
0 @0584497.87@4476778.71@17@T@040.43736@-080.00371@003738@28@@@@@@pitch2_yaw5@.jpg True
1 @0584507.89@4476965.88@17@T@040.43904@-080.00357@003005@05@@@@@@pitch1_yaw6@.jpg True
2 @0584403.21@4477064.39@17@T@040.43994@-080.00479@003640@09@@@@@@pitch1_yaw10@.jpg True
3 @0584380.55@4477027.83@17@T@040.43962@-080.00506@004018@10@@@@@@pitch1_yaw11@.jpg True
4 @0584331.20@4476906.38@17@T@040.43853@-080.00566@004271@27@@@@@@pitch2_yaw4@.jpg True
5 @0584329.37@4476918.02@17@T@040.43863@-080.00568@004352@24@@@@@@pitch2_yaw1@.jpg True
6 @0584420.02@4476837.44@17@T@040.43790@-080.00462@003732@32@@@@@@pitch2_yaw9@.jpg True
7 @0584428.23@4476846.42@17@T@040.43798@-080.00453@004710@35@@@@@@pitch2_yaw12@.jpg True
8 @0584701.23@4476933.54@17@T@040.43873@-080.00130@001704@32@@@@@@pitch2_yaw9@.jpg True
9 @0584365.70@4476991.03@17@T@040.43929@-080.00524@004108@31@@@@@@pitch2_yaw8@.jpg True
10 @0584415.08@4476936.86@17@T@040.43879@-080.00467@003436@04@@@@@@pitch1_yaw5@.jpg True
11 @0584380.56@4477019.62@17@T@040.43954@-080.00506@004017@02@@@@@@pitch1_yaw3@.jpg True
12 @0584380.56@4477019.62@17@T@040.43954@-080.00506@004017@28@@@@@@pitch2_yaw5@.jpg True
13 @0584784.68@4476964.79@17@T@040.43901@-080.00031@001061@33@@@@@@pitch2_yaw10@.jpg True
14 @0584440.14@4477137.08@17@T@040.44059@-080.00435@003274@33@@@@@@pitch2_yaw10@.jpg True
15 @0584626.60@4476970.11@17@T@040.43907@-080.00217@002109@26@@@@@@pitch2_yaw3@.jpg True
16 @0584674.68@4476715.76@17@T@040.43677@-080.00164@002318@29@@@@@@pitch2_yaw6@.jpg True
17 @0584684.46@4476699.10@17@T@040.43662@-080.00152@003074@29@@@@@@pitch2_yaw6@.jpg True
18 @0584373.35@4476853.79@17@T@040.43805@-080.00517@003954@08@@@@@@pitch1_yaw9@.jpg True
19 @0584539.09@4477012.75@17@T@040.43946@-080.00320@002710@01@@@@@@pitch1_yaw2@.jpg True
20 @0584334.26@4477048.74@17@T@040.43981@-080.00561@004339@00@@@@@@pitch1_yaw1@.jpg True
21 @0584337.25@4476934.20@17@T@040.43878@-080.00559@004270@25@@@@@@pitch2_yaw2@.jpg True
22 @0584705.99@4476700.13@17@T@040.43663@-080.00127@002103@32@@@@@@pitch2_yaw9@.jpg True
23 @0584497.76@4476826.11@17@T@040.43779@-080.00371@003291@04@@@@@@pitch1_yaw5@.jpg True
24 @0584307.12@4476905.00@17@T@040.43852@-080.00595@005851@35@@@@@@pitch2_yaw12@.jpg True
25 @0584475.29@4477044.00@17@T@040.43975@-080.00394@003147@00@@@@@@pitch1_yaw1@.jpg True
26 @0584626.60@4476970.11@17@T@040.43907@-080.00217@002109@04@@@@@@pitch1_yaw5@.jpg True
27 @0584608.11@4476819.80@17@T@040.43772@-080.00241@002322@33@@@@@@pitch2_yaw10@.jpg True
28 @0584597.19@4476765.28@17@T@040.43723@-080.00254@003303@25@@@@@@pitch2_yaw2@.jpg True
29 @0584629.17@4476750.21@17@T@040.43709@-080.00217@003082@08@@@@@@pitch1_yaw9@.jpg True
30 @0584649.57@4476753.77@17@T@040.43712@-080.00193@002475@06@@@@@@pitch1_yaw7@.jpg True
31 @0584509.09@4476890.18@17@T@040.43836@-080.00357@003071@35@@@@@@pitch2_yaw12@.jpg True
32 @0584784.16@4476801.70@17@T@040.43754@-080.00034@001405@09@@@@@@pitch1_yaw10@.jpg True
33 @0584306.15@4476885.90@17@T@040.43834@-080.00596@004443@28@@@@@@pitch2_yaw5@.jpg True
34 @0584604.40@4477050.79@17@T@040.43980@-080.00242@002049@24@@@@@@pitch2_yaw1@.jpg True
35 @0584448.66@4476818.12@17@T@040.43772@-080.00429@003366@03@@@@@@pitch1_yaw4@.jpg True
36 @0584608.92@4476747.65@17@T@040.43707@-080.00241@002851@03@@@@@@pitch1_yaw4@.jpg True
37 @0584640.58@4476708.82@17@T@040.43672@-080.00204@003226@00@@@@@@pitch1_yaw1@.jpg True
38 @0584688.07@4477009.77@17@T@040.43942@-080.00144@001591@06@@@@@@pitch1_yaw7@.jpg True
39 @0584640.58@4476708.82@17@T@040.43672@-080.00204@003226@03@@@@@@pitch1_yaw4@.jpg True
40 @0584423.91@4476861.47@17@T@040.43811@-080.00457@003658@32@@@@@@pitch2_yaw9@.jpg True
41 @0584541.24@4476874.56@17@T@040.43822@-080.00319@002781@27@@@@@@pitch2_yaw4@.jpg True
42 @0584320.55@4476910.59@17@T@040.43857@-080.00579@004440@09@@@@@@pitch1_yaw10@.jpg True
43 @0584385.46@4477029.00@17@T@040.43963@-080.00501@003939@11@@@@@@pitch1_yaw12@.jpg True
44 @0584390.18@4476949.23@17@T@040.43891@-080.00496@003652@02@@@@@@pitch1_yaw3@.jpg True
45 @0584779.09@4476791.76@17@T@040.43745@-080.00040@001458@08@@@@@@pitch1_yaw9@.jpg True
46 @0584592.98@4476927.10@17@T@040.43869@-080.00257@002402@00@@@@@@pitch1_yaw1@.jpg True
47 @0584369.04@4477033.03@17@T@040.43966@-080.00520@004097@28@@@@@@pitch2_yaw5@.jpg True
48 @0584385.46@4477029.00@17@T@040.43963@-080.00501@003939@35@@@@@@pitch2_yaw12@.jpg True
49 @0584603.23@4476981.50@17@T@040.43918@-080.00244@002250@04@@@@@@pitch1_yaw5@.jpg True
50 @0584624.44@4477040.91@17@T@040.43971@-080.00219@001930@32@@@@@@pitch2_yaw9@.jpg True
51 @0584647.67@4476959.80@17@T@040.43898@-080.00192@001980@02@@@@@@pitch1_yaw3@.jpg True
52 @0584680.40@4476967.72@17@T@040.43904@-080.00154@001764@03@@@@@@pitch1_yaw4@.jpg True
53 @0584658.32@4476700.14@17@T@040.43664@-080.00183@003081@25@@@@@@pitch2_yaw2@.jpg True
54 @0584711.72@4476711.40@17@T@040.43673@-080.00120@003014@03@@@@@@pitch1_yaw4@.jpg True
55 @0584435.08@4477126.70@17@T@040.44050@-080.00441@003198@04@@@@@@pitch1_yaw5@.jpg True
56 @0584674.68@4476715.76@17@T@040.43677@-080.00164@002318@10@@@@@@pitch1_yaw11@.jpg True
57 @0584376.08@4477011.02@17@T@040.43946@-080.00512@004096@31@@@@@@pitch2_yaw8@.jpg True
58 @0584418.39@4476831.65@17@T@040.43784@-080.00464@003582@06@@@@@@pitch1_yaw7@.jpg True
59 @0584733.03@4476859.52@17@T@040.43806@-080.00093@001644@31@@@@@@pitch2_yaw8@.jpg True
